insertId,jsonPayload.class,jsonPayload.message,jsonPayload.filename,jsonPayload.method,jsonPayload.container,jsonPayload.container_logname,jsonPayload.application,jsonPayload.thread,resource.type,resource.labels.project_id,resource.labels.region,resource.labels.cluster_name,resource.labels.cluster_uuid,timestamp,severity,"labels.""compute.googleapis.com/zone""","labels.""compute.googleapis.com/resource_name""","labels.""compute.googleapis.com/resource_id""",logName,receiveTimestamp
vh4ips7hafhp2ks9m,org.apache.hadoop.yarn.server.resourcemanager.RMAuditLogger,"USER=root	IP=10.138.0.46	OPERATION=Get Applications Request	TARGET=ClientRMService	RESULT=SUCCESS",yarn-yarn-resourcemanager-w261-final-project-m.log,,,,,,cloud_dataproc_cluster,w261-finateam10,us-west1,w261-final-project,edff4d62-42db-4e3f-b8b8-2efbb28b7422,2019-12-10T09:09:29.240Z,INFO,us-west1-b,w261-final-project-m,2747357334388013108,projects/w261-finateam10/logs/yarn-yarn-resourcemanager,2019-12-10T09:09:34.293169159Z
vh4ips7hafhp2ks9l,org.apache.hadoop.yarn.server.resourcemanager.RMAuditLogger,"USER=root	IP=10.138.0.46	OPERATION=Get Applications Request	TARGET=ClientRMService	RESULT=SUCCESS",yarn-yarn-resourcemanager-w261-final-project-m.log,,,,,,cloud_dataproc_cluster,w261-finateam10,us-west1,w261-final-project,edff4d62-42db-4e3f-b8b8-2efbb28b7422,2019-12-10T09:09:24.238Z,INFO,us-west1-b,w261-final-project-m,2747357334388013108,projects/w261-finateam10/logs/yarn-yarn-resourcemanager,2019-12-10T09:09:29.251853602Z
vh4ips7hafhp2ks9k,org.apache.hadoop.yarn.server.resourcemanager.RMAuditLogger,"USER=root	IP=10.138.0.46	OPERATION=Get Applications Request	TARGET=ClientRMService	RESULT=SUCCESS",yarn-yarn-resourcemanager-w261-final-project-m.log,,,,,,cloud_dataproc_cluster,w261-finateam10,us-west1,w261-final-project,edff4d62-42db-4e3f-b8b8-2efbb28b7422,2019-12-10T09:09:19.235Z,INFO,us-west1-b,w261-final-project-m,2747357334388013108,projects/w261-finateam10/logs/yarn-yarn-resourcemanager,2019-12-10T09:09:24.249071915Z
vh4ips7hafhp2ks9j,org.apache.hadoop.yarn.server.resourcemanager.RMAuditLogger,"USER=root	IP=10.138.0.46	OPERATION=Get Applications Request	TARGET=ClientRMService	RESULT=SUCCESS",yarn-yarn-resourcemanager-w261-final-project-m.log,,,,,,cloud_dataproc_cluster,w261-finateam10,us-west1,w261-final-project,edff4d62-42db-4e3f-b8b8-2efbb28b7422,2019-12-10T09:09:14.233Z,INFO,us-west1-b,w261-final-project-m,2747357334388013108,projects/w261-finateam10/logs/yarn-yarn-resourcemanager,2019-12-10T09:09:19.253152847Z
vh4ips7hafhp2ks9i,org.apache.hadoop.yarn.server.resourcemanager.RMAuditLogger,"USER=root	IP=10.138.0.46	OPERATION=Get Applications Request	TARGET=ClientRMService	RESULT=SUCCESS",yarn-yarn-resourcemanager-w261-final-project-m.log,,,,,,cloud_dataproc_cluster,w261-finateam10,us-west1,w261-final-project,edff4d62-42db-4e3f-b8b8-2efbb28b7422,2019-12-10T09:09:09.231Z,INFO,us-west1-b,w261-final-project-m,2747357334388013108,projects/w261-finateam10/logs/yarn-yarn-resourcemanager,2019-12-10T09:09:14.247200530Z
vh4ips7hafhp2ks9h,org.apache.hadoop.yarn.server.resourcemanager.RMAuditLogger,"USER=root	IP=10.138.0.46	OPERATION=Get Applications Request	TARGET=ClientRMService	RESULT=SUCCESS",yarn-yarn-resourcemanager-w261-final-project-m.log,,,,,,cloud_dataproc_cluster,w261-finateam10,us-west1,w261-final-project,edff4d62-42db-4e3f-b8b8-2efbb28b7422,2019-12-10T09:09:04.229Z,INFO,us-west1-b,w261-final-project-m,2747357334388013108,projects/w261-finateam10/logs/yarn-yarn-resourcemanager,2019-12-10T09:09:09.247933563Z
vh4ips7hafhp2ks9g,org.apache.hadoop.yarn.server.resourcemanager.RMAuditLogger,"USER=root	IP=10.138.0.46	OPERATION=Get Queue Info Request	TARGET=ClientRMService	RESULT=SUCCESS	QUEUENAME=root	INCLUDEAPPS=false	INCLUDECHILDQUEUES=true	RECURSIVE=true",yarn-yarn-resourcemanager-w261-final-project-m.log,,,,,,cloud_dataproc_cluster,w261-finateam10,us-west1,w261-final-project,edff4d62-42db-4e3f-b8b8-2efbb28b7422,2019-12-10T09:09:01.332Z,INFO,us-west1-b,w261-final-project-m,2747357334388013108,projects/w261-finateam10/logs/yarn-yarn-resourcemanager,2019-12-10T09:09:04.240186176Z
vh4ips7hafhp2ks9f,org.apache.hadoop.yarn.server.resourcemanager.RMAuditLogger,"USER=root	IP=10.138.0.46	OPERATION=Get Applications Request	TARGET=ClientRMService	RESULT=SUCCESS",yarn-yarn-resourcemanager-w261-final-project-m.log,,,,,,cloud_dataproc_cluster,w261-finateam10,us-west1,w261-final-project,edff4d62-42db-4e3f-b8b8-2efbb28b7422,2019-12-10T09:08:59.227Z,INFO,us-west1-b,w261-final-project-m,2747357334388013108,projects/w261-finateam10/logs/yarn-yarn-resourcemanager,2019-12-10T09:09:04.240186176Z
vh4ips7hafhp2ks9e,org.apache.hadoop.yarn.server.resourcemanager.RMAuditLogger,"USER=root	IP=10.138.0.46	OPERATION=Get Applications Request	TARGET=ClientRMService	RESULT=SUCCESS",yarn-yarn-resourcemanager-w261-final-project-m.log,,,,,,cloud_dataproc_cluster,w261-finateam10,us-west1,w261-final-project,edff4d62-42db-4e3f-b8b8-2efbb28b7422,2019-12-10T09:08:54.225Z,INFO,us-west1-b,w261-final-project-m,2747357334388013108,projects/w261-finateam10/logs/yarn-yarn-resourcemanager,2019-12-10T09:08:59.240972972Z
vh4ips7hafhp2ks9d,org.apache.hadoop.yarn.server.resourcemanager.RMAuditLogger,"USER=root	IP=10.138.0.46	OPERATION=Get Applications Request	TARGET=ClientRMService	RESULT=SUCCESS",yarn-yarn-resourcemanager-w261-final-project-m.log,,,,,,cloud_dataproc_cluster,w261-finateam10,us-west1,w261-final-project,edff4d62-42db-4e3f-b8b8-2efbb28b7422,2019-12-10T09:08:49.223Z,INFO,us-west1-b,w261-final-project-m,2747357334388013108,projects/w261-finateam10/logs/yarn-yarn-resourcemanager,2019-12-10T09:08:54.237227490Z
